Mask Mandate,Social Distancing,Mobility Level,Population Density,Cases Per Capita,Current Phase,Future Phase,support,confidence,lift,chi_squared
,,H,1,L,Phase 3,Phase 1,0.0038095238095238095,0.5714285714285714,1.8691588785046729,2.3441147978562515
N,,H,1,L,Phase 3,Phase 1,0.002857142857142857,0.5,1.6355140186915889,1.0731682733687962
M,,H,1,L,Phase 3,Phase 1,0.0009523809523809524,1.0,3.2710280373831777,2.2731929830813504
,,,1,L,,Phase 1,0.06666666666666667,0.3626943005181347,1.1863832259938987,3.617070211874334
M,,,1,L,,Phase 1,0.03428571428571429,0.40449438202247195,1.3231124645594876,4.4703429902922664
N,,,1,L,,Phase 1,0.03142857142857143,0.34375,1.1244158878504673,0.7201804828986986
,Phase 0,,1,L,,Phase 1,0.021904761904761906,0.32857142857142857,1.074766355140187,0.18460828429675788
N,Phase 0,,1,L,,Phase 1,0.02095238095238095,0.39999999999999997,1.308411214953271,2.430897999864326
M,Phase 0,,1,L,,Phase 1,0.0009523809523809524,0.06666666666666667,0.21806853582554517,4.096897425164064
,,,1,L,Phase 2,Phase 1,0.0038095238095238095,0.05714285714285714,0.18691588785046728,21.83281412253375
,Phase 0,,1,L,Phase 2,Phase 1,0.0038095238095238095,0.18181818181818182,0.5947323704333051,1.6251004168746628
N,,,1,L,Phase 2,Phase 1,0.0038095238095238095,0.12903225806451613,0.42206813385589387,4.697941404540741
N,Phase 0,,1,L,Phase 2,Phase 1,0.0038095238095238095,0.30769230769230765,1.0064701653486698,0.00024263986628462265
,Phase 4,H,1,L,,Phase 1,0.0038095238095238095,0.5714285714285714,1.8691588785046729,2.3441147978562515
N,Phase 4,H,1,L,,Phase 1,0.002857142857142857,0.6,1.9626168224299065,2.0498751520230454
,Phase 4,,1,L,,Phase 1,0.007619047619047619,0.4444444444444444,1.4537902388369677,1.6606186484379892
N,Phase 4,,1,L,,Phase 1,0.005714285714285714,0.42857142857142855,1.4018691588785046,1.0090308376912736
,Phase 4,,1,L,Phase 1,Phase 1,0.0038095238095238095,0.6666666666666666,2.1806853582554515,3.7041273537814114
N,Phase 4,,1,L,Phase 1,Phase 1,0.0019047619047619048,0.5,1.6355140186915889,0.7140775509222583
,Phase 4,H,1,L,Phase 1,Phase 1,0.0019047619047619048,1.0,3.2710280373831777,4.550724120710567
N,Phase 4,H,1,L,Phase 1,Phase 1,0.0009523809523809524,1.0,3.2710280373831777,2.2731929830813504
M,Phase 4,,1,L,,Phase 1,0.0019047619047619048,1.0,3.2710280373831777,4.550724120710567
M,Phase 4,,1,L,Phase 1,Phase 1,0.0019047619047619048,1.0,3.2710280373831777,4.550724120710567
M,Phase 4,H,1,L,,Phase 1,0.0009523809523809524,1.0,3.2710280373831777,2.2731929830813504
M,Phase 4,H,1,L,Phase 1,Phase 1,0.0009523809523809524,1.0,3.2710280373831777,2.2731929830813504
,Phase 4,,1,L,,Phase 2,0.004761904761904762,0.2777777777777778,0.6862745098039216,1.2257181942544462
N,Phase 4,,1,L,,Phase 2,0.0038095238095238095,0.2857142857142857,0.7058823529411764,0.8346581875993645
,Phase 4,,1,L,Phase 1,Phase 2,0.0019047619047619048,0.3333333333333333,0.8235294117647058,0.12778904665314408
N,Phase 4,,1,L,Phase 1,Phase 2,0.0019047619047619048,0.5,1.2352941176470589,0.15116409852659998
,Phase 4,,1,L,Phase 2,Phase 2,0.002857142857142857,0.5,1.2352941176470589,0.22718052738336722
N,Phase 4,,1,L,Phase 2,Phase 2,0.0019047619047619048,0.5,1.2352941176470589,0.15116409852659998
,Phase 4,H,1,L,,Phase 2,0.0009523809523809524,0.14285714285714285,0.3529411764705882,2.006316620607975
,Phase 4,H,1,L,Phase 2,Phase 2,0.0009523809523809524,0.5,1.2352941176470589,0.07543780871127079
,,VL,1,,,Phase 2,0.05238095238095238,0.4545454545454546,1.1229946524064172,1.4068258089026795
,,VL,1,,Phase 2,Phase 2,0.04,0.6666666666666667,1.647058823529412,19.081351689612024
